Stock,Date,Open,High,Low,Close,Volume,Adjusted
AMZN,4/24/2020,2417,2420.429932,2382,2410.219971,3831800,2410.219971
AMZN,4/27/2020,2443.199951,2444.879883,2363,2376,5645600,2376
AMZN,4/28/2020,2372.100098,2373.5,2306,2314.080078,5269400,2314.080078
AMZN,4/29/2020,2330.01001,2391.889893,2310,2372.709961,4591600,2372.709961
AMZN,4/30/2020,2419.840088,2475,2396.01001,2474,9534600,2474
AMZN,5/1/2020,2336.800049,2362.439941,2258.189941,2286.040039,9772600,2286.040039
AMZN,5/4/2020,2256.379883,2326.97998,2256.379883,2315.98999,4865900,2315.98999
AMZN,5/5/2020,2340,2351,2307.129883,2317.800049,3242500,2317.800049
AMZN,5/6/2020,2329.439941,2357.449951,2320,2351.26001,3117800,2351.26001
AMZN,5/7/2020,2374.780029,2376,2343.110107,2367.610107,3396400,2367.610107
AMZN,5/8/2020,2372.139893,2387.23999,2357,2379.610107,3211200,2379.610107
AMZN,5/11/2020,2374.699951,2419.669922,2372.110107,2409,3259200,2409
AMZN,5/12/2020,2411.850098,2419,2355,2356.949951,3074900,2356.949951
AMZN,5/13/2020,2366.800049,2407.699951,2337.800049,2367.919922,4782900,2367.919922
AMZN,5/14/2020,2361.01001,2391.370117,2353.209961,2388.850098,3648100,2388.850098
AMZN,5/15/2020,2368.52002,2411,2356.370117,2409.780029,4235000,2409.780029
AMZN,5/18/2020,2404.350098,2433,2384.01001,2426.26001,4366600,2426.26001
AMZN,5/19/2020,2429.830078,2485,2428.969971,2449.330078,4320500,2449.330078
AMZN,5/20/2020,2477.870117,2500.01001,2467.27002,2497.939941,3998100,2497.939941
AMZN,5/21/2020,2500,2525.449951,2442.540039,2446.73999,5114400,2446.73999
AMZN,5/22/2020,2455.01001,2469.850098,2430.129883,2436.879883,2867100,2436.879883
AMZN,5/26/2020,2458,2462,2414.060059,2421.860107,3568200,2421.860107
AMZN,5/27/2020,2404.98999,2413.580078,2330,2410.389893,5056900,2410.389893
AMZN,5/28/2020,2384.330078,2436.969971,2378.22998,2401.100098,3190200,2401.100098
AMZN,5/29/2020,2415.939941,2442.370117,2398.199951,2442.370117,3529300,2442.370117
AMZN,6/1/2020,2448,2476.929932,2444.169922,2471.040039,2928900,2471.040039
AMZN,6/2/2020,2467,2473.530029,2445.310059,2472.409912,2529900,2472.409912
AMZN,6/3/2020,2468.01001,2488,2461.169922,2478.399902,2671000,2478.399902
AMZN,6/4/2020,2477.429932,2507.540039,2450.01001,2460.600098,2948700,2460.600098
AMZN,6/5/2020,2444.51001,2488.649902,2437.129883,2483,3306400,2483
AMZN,6/8/2020,2500.199951,2530,2487.340088,2524.060059,3970700,2524.060059
AMZN,6/9/2020,2529.439941,2626.429932,2525,2600.860107,5176000,2600.860107
AMZN,6/10/2020,2645,2722.350098,2626.26001,2647.449951,4946000,2647.449951
AMZN,6/11/2020,2603.5,2671.379883,2536.22998,2557.959961,5800100,2557.959961
AMZN,6/12/2020,2601.209961,2621.47998,2503.350098,2545.02002,5436100,2545.02002
AMZN,6/15/2020,2526.600098,2584,2508,2572.679932,3865100,2572.679932
AMZN,6/16/2020,2620,2620,2576,2615.27002,3585600,2615.27002
AMZN,6/17/2020,2647.5,2655,2631.820068,2640.97998,2959300,2640.97998
AMZN,6/18/2020,2647.01001,2659.639893,2636.110107,2653.97998,2487800,2653.97998
AMZN,6/19/2020,2678.080078,2697.429932,2659,2675.01001,5777000,2675.01001
AMZN,6/22/2020,2684.5,2715,2669,2713.820068,3208800,2713.820068
AMZN,6/23/2020,2726.02002,2783.110107,2718.040039,2764.409912,4231700,2764.409912
AMZN,6/24/2020,2780,2796,2721,2734.399902,4526600,2734.399902
AMZN,6/25/2020,2739.550049,2756.22998,2712.139893,2754.580078,2968700,2754.580078
AMZN,6/26/2020,2775.060059,2782.570068,2688,2692.870117,6500800,2692.870117
AMZN,6/29/2020,2690.01001,2696.800049,2630.080078,2680.379883,4223400,2680.379883
AMZN,6/30/2020,2685.070068,2769.629883,2675.030029,2758.820068,3769700,2758.820068
AMZN,7/1/2020,2757.98999,2895,2754,2878.699951,6363400,2878.699951
AMZN,7/2/2020,2912.01001,2955.560059,2871.100098,2890.300049,6593400,2890.300049
AMZN,7/6/2020,2934.969971,3059.879883,2930,3057.040039,6880600,3057.040039
